,0-8 ft rate,0-8 ft %,8-16 ft rate,8-16 ft %,16-24 ft rate,16-24 ft %,3P rate,3P %
Cedevita Olimpija Ljubljana,44.803,59.649,15.022,43.023,4.629,35.849,35.546,33.907
Hapoel Shlomo Tel Aviv,49.223,65.614,13.817,40.625,2.850,63.636,34.111,39.747
ratiopharm Ulm,44.521,64.231,10.017,36.752,2.055,45.833,43.408,35.108
Dolomiti Energia Trento,41.976,61.368,10.389,32.520,3.885,36.957,43.750,32.046
Wolves Vilnius,41.213,59.701,17.399,36.364,2.988,38.235,38.401,34.554
Paris Basketball,46.719,70.051,10.198,38.760,4.743,48.333,38.340,37.938
Prometey Slobozhanske,41.680,63.277,13.501,36.047,4.160,35.849,40.659,34.942
Veolia Towers Hamburg,42.178,58.811,12.965,34.667,3.976,36.957,40.882,36.364
U-BT Cluj-Napoca,47.684,63.048,11.535,40.945,3.451,50.000,37.330,38.200
Turk Telekom Ankara,45.325,58.153,11.487,31.783,3.473,41.026,39.715,33.857
Buducnost VOLI Podgorica,45.701,63.366,14.661,33.951,4.434,32.653,35.204,32.648
7bet-Lietkabelis Panevezys,43.432,59.161,8.725,36.264,3.547,32.432,44.295,40.260
Dreamland Gran Canaria,39.966,70.551,11.600,28.467,5.165,37.705,43.268,37.182
Aris Midea Thessaloniki,45.807,56.890,7.845,31.034,3.697,41.463,42.651,32.981
Besiktas Emlakjet Istanbul,38.270,59.783,20.133,35.537,5.408,32.308,36.190,31.494
Joventut Badalona,38.435,60.177,22.619,42.481,2.976,31.429,35.969,39.716
Umana Reyer Venice,37.751,67.898,19.180,35.455,2.441,32.143,40.628,36.266
London Lions,44.222,66.208,14.509,40.120,3.215,37.838,38.054,33.790
Slask Wroclaw,47.413,61.706,9.407,24.000,2.446,26.923,40.734,34.411
Mincidelice JL Bourg en Bresse,43.023,59.459,11.002,37.398,4.830,33.333,41.145,39.130
Eurocup,43.420,62.543,13.352,36.426,3.733,38.300,39.495,35.710
