,0-8 ft rate,0-8 ft %,8-16 ft rate,8-16 ft %,16-24 ft rate,16-24 ft %,3P rate,3P %
Capital City Go-Go,52.28604924,59.05707196,9.847596717,31.08108108,3.399765533,40,34.46658851,33.67346939
Maine Celtics,44.29928741,55.05952381,10.09501188,39.50617284,4.156769596,55.17241379,41.44893112,34.95702006
Cleveland Charge,43.26484018,53.51681957,8.333333333,42.64705882,4.566210046,33.33333333,43.83561644,35.67708333
Wisconsin Herd,45.46498278,60.34985423,14.58094145,40.8,8.725602755,39.70588235,31.22847302,32.72058824
Delaware Blue Coats,46.15384615,51.74603175,9.71659919,43.66197183,4.453441296,46.875,39.67611336,37.41496599
Westchester Knicks,47.67321613,58.33333333,5.997931748,36.53846154,2.792140641,31.57894737,43.53671148,33.72921615
Long Island Nets,45.85034014,53.57142857,6.530612245,37.77777778,2.857142857,43.75,44.76190476,30.39513678
Raptors 905,51.36138614,58.53658537,8.292079208,31.74603175,3.465346535,20,36.88118812,26.84563758
Birmingham Squadron,43.1372549,55.0295858,11.07266436,50,4.728950404,40,41.06113033,35.6741573
Austin Spurs,50.31578947,61.9266055,9.368421053,32.94117647,4,50,36.31578947,33.04347826
Iowa Wolves,54.05960946,55.60344828,7.39979445,34.92063492,3.905447071,35.29411765,34.63514902,28.48664688
Windy City Bulls,49.11550468,56.16438356,8.740894901,41.25,2.497398543,30.43478261,39.64620187,31.49606299
Memphis Hustle,43.5624395,54.20792079,10.74540174,45.28301887,4.35624395,32.5,41.33591481,34.66042155
Rio Grande Valley Vipers,61.53005464,60.31434185,2.295081967,19.04761905,1.967213115,45.45454545,34.20765027,31.62939297
Texas Legends,43.93004115,56.8,6.790123457,36.66666667,5.24691358,26.19047619,44.03292181,33.41121495
Oklahoma City Blue,46.86847599,61.38613861,7.202505219,34.375,3.027139875,29.16666667,42.90187891,35.03649635
Mexico City Capitanes,49.74924774,59.1011236,8.726178536,40.47619048,6.419257773,33.33333333,35.10531595,36.28571429
Osceola Magic,42.57731959,60.69518717,4.536082474,35.71428571,2.989690722,29.62962963,49.89690722,34.50413223
G League Ignite,46.40591966,58.82352941,13.00211416,28.31858407,9.302325581,35.71428571,31.28964059,33.10810811
Ontario Clippers,41.06951872,57.56676558,13.15508021,38.53211009,6.737967914,45.61403509,39.03743316,38.90410959
Santa Cruz Warriors,50.68493151,62.84153005,8.219178082,37.93103448,1.867995019,16.66666667,39.22789539,33.33333333
Stockton Kings,42.65505985,62.11699164,15.12513602,37.79527559,3.808487486,36.66666667,38.41131665,32.57790368
South Bay Lakers,54.29141717,62.77665996,10.67864271,37.37373737,4.091816367,41.37931034,30.93812375,33.5483871
Rip City Remix,49.00731452,53.77128954,7.62800418,25,2.089864159,33.33333333,41.27481714,31.13924051
Greensboro Swarm,48.25174825,54.07925408,15.08491508,34.75177305,4.995004995,27.08333333,31.66833167,32.49211356
Sioux Falls Skyforce,52.36742424,57.05645161,10.03787879,40.19607843,3.977272727,45.94594595,33.61742424,36.05633803
Indiana Mad Ants,52.25522552,58.33333333,9.02090209,40,6.050605061,31.37254902,32.67326733,35.01683502
Salt Lake City Stars,45.78563996,60.88082902,10.71800208,31.63265306,4.058272633,42.85714286,39.43808533,37.46701847
College Park Skyhawks,43.9165701,56.45645646,9.154113557,46.66666667,4.982618772,40.47619048,41.94669757,34.80662983
Grand Rapids Gold,47.2887768,57.86163522,8.322824716,37.09677419,3.404791929,37.5,40.98360656,32.30769231
Motor City Cruise,45.15800204,59.79381443,13.55759429,42.62295082,4.791029562,36.58536585,36.49337411,36.59217877
G-League,47.79165933,57.9948925,9.516100651,37.85601266,4.332218898,36.89497717,38.36002112,33.85321101
