,0-8 ft rate,0-8 ft %,8-16 ft rate,8-16 ft %,16-24 ft rate,16-24 ft %,3P rate,3P %
Denver Nuggets,47.03433923,66.33165829,10.71800208,39.17525773,7.804370447,43.83561644,34.44328824,35.64954683
Los Angeles Lakers,46.48648649,64.64379947,13.2972973,43.10344828,8.972972973,33.33333333,31.24324324,30.44982699
Golden State Warriors,36.11111111,58.72093023,14.08045977,36.80555556,8.620689655,51.76470588,41.18773946,34.88372093
Phoenix Suns,42.82655246,56.85131195,14.7751606,41.53846154,5.781584582,39.21568627,36.61670236,36.25730994
Charlotte Hornets,48.59228363,61.46572104,15.43274244,43.83561644,5.422314911,34.69387755,30.55265902,32.08191126
Atlanta Hawks,44.07135362,59.89583333,12.80167891,41.37931034,5.246589717,52.27272727,37.88037775,35.45706371
Indiana Pacers,44.49458484,61.39954853,11.01083032,50,4.512635379,50,39.98194946,38.60045147
Washington Wizards,46.27329193,62.93532338,12.62939959,35.0877193,4.244306418,38.46153846,36.85300207,35.6741573
New York Knicks,38.33693305,53.27380952,15.87473002,36.55172414,5.939524838,38.18181818,39.8488121,36.31436314
Boston Celtics,39.26315789,63.0952381,9.684210526,46.51162791,5.157894737,39.53488372,45.89473684,36.9266055
Orlando Magic,50.29585799,58.22454308,11.95266272,36.73469388,5.325443787,32.55813953,32.4260355,32.48175182
Houston Rockets,43.98034398,57.31343284,10.68796069,44.70588235,8.108108108,45,37.22358722,36.96369637
Brooklyn Nets,38.90577508,57.27002967,11.04356636,52.38095238,8.004052685,36.84210526,42.04660588,37.10843373
Cleveland Cavaliers,44.67168999,60.21220159,13.99354144,38.01652893,3.875134553,34.375,37.45963402,33.90804598
Miami Heat,37.95546559,58.89212828,19.73684211,44.14893617,6.174089069,32.75862069,36.13360324,36.41456583
Detroit Pistons,47.05364996,56.57620042,14.51187335,42.7672956,7.124010554,42.10526316,31.31046614,36.23595506
Toronto Raptors,45.14767932,59.75,13.29113924,35.0877193,5.801687764,42.85714286,35.75949367,33.33333333
Minnesota Timberwolves,46.32972323,60,15.28279182,44.44444444,5.776173285,48.8372093,32.61131167,36.900369
Chicago Bulls,43.8727783,56.10328638,11.9738073,35.48387097,11.22544434,39.13043478,32.92797007,34.94318182
Oklahoma City Thunder,47.83549784,57.90816327,13.2034632,50.87719298,5.519480519,44.68085106,33.44155844,37.54045307
Memphis Grizzlies,44.35401831,56.77083333,9.86775178,38.20224719,4.374364191,36.84210526,41.40386572,33.16953317
New Orleans Pelicans,43.02702703,54.52054795,15.13513514,47.36842105,6.378378378,41.81818182,35.45945946,34.75609756
Utah Jazz,48.69109948,56.22009569,9.947643979,38.88888889,2.722513089,25,38.63874346,37.66937669
Sacramento Kings,41.2716763,63.09148265,10.75144509,37.07865169,3.930635838,27.5862069,44.04624277,33.59580052
San Antonio Spurs,41.10429448,60.85714286,15.03067485,44.82758621,7.668711656,44.7761194,36.19631902,35.31073446
Dallas Mavericks,36.54661017,62.30031949,11.22881356,47,5.720338983,40.42553191,46.50423729,40.09111617
LA Clippers,42.94403893,60.37735849,14.11192214,52.21238938,5.839416058,29.78723404,37.10462287,37.04918033
Portland Trail Blazers,46.05568445,52.84090909,13.57308585,47.78761062,7.192575406,48.27586207,33.17865429,30.76923077
Milwaukee Bucks,41.62042175,63.06306306,11.65371809,46,5.438401776,41.30434783,41.28745838,35.48387097
Philadelphia 76ers,49.26778243,58.89423077,14.22594142,43.41085271,5.753138075,49.01960784,30.75313808,36.39455782
NBA,43.77751946,59.30534419,13.05435204,42.70361991,6.150269471,40.81632653,37.01785903,35.55048054
