,0-8 ft rate,0-8 ft %,8-16 ft rate,8-16 ft %,16-24 ft rate,16-24 ft %,3P rate,3P %
Roanne,38.37,65.38,12.24,42.86,8.48,36.08,40.91,32.26
Cholet,39.19,61.02,13.28,37.1,4.85,41.18,42.68,34.78
Gravelines-Dunkerque,42.15,60.72,15.71,44.09,6,39.44,36.15,33.64
Blois,39.78,61.27,12.39,41.81,6.79,35.05,41.04,32.94
Boulogne-Levallois,46.65,58.59,10.42,34.27,5.9,37.04,37.03,30.51
Saint-Quentin,43.77,58.88,12.77,34.94,7,36.26,36.46,31.65
Le Portel,42.41,62.41,15.1,42.42,9,42.37,33.49,30.75
Bourg-en-Bresse,33.98,65.96,15.5,48.19,7.07,47.73,43.45,37.71
Chalon/Saône,38.11,57.8,11.16,37.5,6.09,44.58,44.64,36.35
Nancy,47.01,58.08,10.41,40.43,4.43,35,38.15,32.88
Monaco,40.71,63.23,13.96,40.41,7.23,36,38.11,37.76
Limoges,40.11,55.77,13.42,40.94,4.47,33.33,41.99,34.95
Paris,36.33,64.27,11.02,48.15,5.88,43.06,46.78,34.55
Dijon,37.05,63.67,11.52,38.93,6.73,41.38,44.7,35.12
Nanterre,48.2,62.15,12.01,45,5.48,36.99,34.31,31.95
Strasbourg,41.16,60.65,13.89,35.29,7.13,47.92,37.82,32.61
Le Mans,47.16,56.99,15.04,40.09,2.34,15.15,35.46,35.2
Lyon-Villeurbanne,47.4,67.43,12.72,35.37,5.2,38.81,34.68,39.37
Pro A,41.72,61.17,12.91,40.45,6.08,39.19,39.29,34.24
